Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
208,1078080.00,CH 1078+080,2080.00,43N,737657.792,3321592.937,30.00226991,77.46378453
209,1078090.00,CH 1078+090,2090.00,43N,737649.202,3321598.057,30.00231773,77.46369669
210,1078100.00,CH 1078+100,2100.00,43N,737640.612,3321603.176,30.00236556,77.46360884
211,1078110.00,CH 1078+110,2110.00,43N,737632.022,3321608.296,30.00241339,77.46352100
212,1078120.00,CH 1078+120,2120.00,43N,737623.432,3321613.416,30.00246121,77.46343316
213,1078130.00,CH 1078+130,2130.00,43N,737614.842,3321618.535,30.00250904,77.46334531
214,1078140.00,CH 1078+140,2140.00,43N,737606.252,3321623.655,30.00255686,77.46325747
215,1078150.00,CH 1078+150,2150.00,43N,737597.662,3321628.774,30.00260469,77.46316963
216,1078160.00,CH 1078+160,2160.00,43N,737589.072,3321633.894,30.00265251,77.46308178
217,1078170.00,CH 1078+170,2170.00,43N,737580.482,3321639.014,30.00270034,77.46299394
218,1078180.00,CH 1078+180,2180.00,43N,737571.892,3321644.133,30.00274817,77.46290610
219,1078190.00,CH 1078+190,2190.00,43N,737563.301,3321649.253,30.00279599,77.46281825
220,1078200.00,CH 1078+200,2200.00,43N,737554.711,3321654.373,30.00284382,77.46273041
221,1078210.00,CH 1078+210,2210.00,43N,737546.121,3321659.492,30.00289164,77.46264256
222,1078220.00,CH 1078+220,2220.00,43N,737537.531,3321664.612,30.00293947,77.46255472
223,1078230.00,CH 1078+230,2230.00,43N,737528.941,3321669.731,30.00298729,77.46246687
224,1078240.00,CH 1078+240,2240.00,43N,737520.351,3321674.851,30.00303512,77.46237903
225,1078250.00,CH 1078+250,2250.00,43N,737511.761,3321679.971,30.00308294,77.46229119
226,1078260.00,CH 1078+260,2260.00,43N,737503.171,3321685.090,30.00313077,77.46220334
227,1078270.00,CH 1078+270,2270.00,43N,737494.581,3321690.210,30.00317859,77.46211550
228,1078280.00,CH 1078+280,2280.00,43N,737485.991,3321695.329,30.00322642,77.46202765
229,1078290.00,CH 1078+290,2290.00,43N,737477.401,3321700.449,30.00327424,77.46193981
230,1078300.00,CH 1078+300,2300.00,43N,737468.811,3321705.569,30.00332207,77.46185196
231,1078310.00,CH 1078+310,2310.00,43N,737460.220,3321710.688,30.00336989,77.46176412
232,1078320.00,CH 1078+320,2320.00,43N,737451.630,3321715.808,30.00341772,77.46167627
233,1078330.00,CH 1078+330,2330.00,43N,737443.040,3321720.928,30.00346554,77.46158843
234,1078340.00,CH 1078+340,2340.00,43N,737434.450,3321726.047,30.00351337,77.46150058
235,1078350.00,CH 1078+350,2350.00,43N,737425.860,3321731.167,30.00356119,77.46141274
236,1078360.00,CH 1078+360,2360.00,43N,737417.270,3321736.286,30.00360902,77.46132489
237,1078370.00,CH 1078+370,2370.00,43N,737408.680,3321741.406,30.00365684,77.46123705
238,1078380.00,CH 1078+380,2380.00,43N,737400.090,3321746.526,30.00370466,77.46114920
239,1078390.00,CH 1078+390,2390.00,43N,737391.500,3321751.645,30.00375249,77.46106135
240,1078400.00,CH 1078+400,2400.00,43N,737382.910,3321756.765,30.00380031,77.46097351
241,1078410.00,CH 1078+410,2410.00,43N,737374.320,3321761.884,30.00384814,77.46088566
242,1078420.00,CH 1078+420,2420.00,43N,737365.730,3321767.004,30.00389596,77.46079782
243,1078430.00,CH 1078+430,2430.00,43N,737357.139,3321772.124,30.00394379,77.46070997
244,1078440.00,CH 1078+440,2440.00,43N,737348.549,3321777.243,30.00399161,77.46062212
245,1078450.00,CH 1078+450,2450.00,43N,737339.959,3321782.363,30.00403943,77.46053428
246,1078460.00,CH 1078+460,2460.00,43N,737331.369,3321787.483,30.00408726,77.46044643
247,1078470.00,CH 1078+470,2470.00,43N,737322.779,3321792.602,30.00413508,77.46035859
248,1078480.00,CH 1078+480,2480.00,43N,737314.189,3321797.722,30.00418291,77.46027074
249,1078490.00,CH 1078+490,2490.00,43N,737305.599,3321802.841,30.00423073,77.46018289
250,1078500.00,CH 1078+500,2500.00,43N,737297.009,3321807.961,30.00427855,77.46009505
251,1078510.00,CH 1078+510,2510.00,43N,737288.419,3321813.081,30.00432638,77.46000720
252,1078520.00,CH 1078+520,2520.00,43N,737279.829,3321818.200,30.00437420,77.45991935
253,1078530.00,CH 1078+530,2530.00,43N,737271.239,3321823.320,30.00442202,77.45983151
254,1078540.00,CH 1078+540,2540.00,43N,737262.649,3321828.439,30.00446985,77.45974366
255,1078550.00,CH 1078+550,2550.00,43N,737254.058,3321833.559,30.00451767,77.45965581
256,1078560.00,CH 1078+560,2560.00,43N,737245.468,3321838.679,30.00456549,77.45956796
257,1078570.00,CH 1078+570,2570.00,43N,737236.878,3321843.798,30.00461332,77.45948012
